1,92
2,7
3,41
4,33
5,6
6,21
7,52
8,78
9,16
10,3
11,62
12,26
13,8
14,82
15,100
16,1
17,15
18,45
19,20
20,53
21,32
22,5
23,80
24,11
25,37
26,74
27,70
28,12
29,73
30,56
31,48
32,59
33,57
34,27
35,4
36,71
37,87
38,13
39,65
40,44
41,67
42,60
43,40
44,23
45,47
46,30
47,83
48,96
49,54
50,10
51,66
52,19
53,72
54,98
55,88
56,63
57,17
58,61
59,68
60,77
61,28
62,18
63,79
64,34
65,50
66,64
67,90
68,49
69,94
70,93
71,39
72,58
73,75
74,69
75,81
76,76
77,24
78,31
79,43
80,38
81,46
82,9
83,89
84,36
85,95
86,22
87,14
88,97
89,35
90,91
91,99
92,42
93,2
94,29
95,55
96,84
97,51
98,85
99,25
100,86
