1,26
2,88
3,22
4,23
5,81
6,7
7,45
8,80
9,30
10,12
11,56
12,35
13,55
14,19
15,5
16,90
17,46
18,98
19,33
20,78
21,97
22,85
23,87
24,89
25,37
26,64
27,73
28,48
29,32
30,29
31,42
32,14
33,74
34,34
35,51
36,49
37,27
38,3
39,54
40,67
41,92
42,28
43,71
44,95
45,66
46,65
47,44
48,18
49,39
50,1
51,47
52,52
53,41
54,11
55,69
56,63
57,75
58,8
59,84
60,79
61,6
62,72
63,68
64,31
65,16
66,60
67,58
68,86
69,83
70,13
71,10
72,100
73,76
74,99
75,70
76,59
77,38
78,94
79,93
80,9
81,24
82,4
83,17
84,77
85,96
86,43
87,25
88,20
89,21
90,36
91,40
92,2
93,50
94,62
95,15
96,57
97,82
98,91
99,53
100,61
