1,26
2,31
3,80
4,78
5,83
6,44
7,58
8,20
9,17
10,15
11,72
12,27
13,95
14,36
15,70
16,91
17,55
18,4
19,76
20,57
21,34
22,52
23,67
24,12
25,16
26,68
27,65
28,40
29,7
30,18
31,37
32,50
33,64
34,45
35,61
36,32
37,85
38,9
39,41
40,82
41,22
42,94
43,89
44,42
45,84
46,51
47,1
48,21
49,88
50,74
51,92
52,2
53,29
54,87
55,99
56,49
57,71
58,39
59,23
60,38
61,30
62,19
63,73
64,54
65,28
66,96
67,46
68,56
69,24
70,13
71,25
72,69
73,81
74,48
75,98
76,77
77,5
78,43
79,100
80,3
81,75
82,62
83,60
84,59
85,97
86,6
87,93
88,47
89,79
90,66
91,33
92,11
93,10
94,53
95,8
96,14
97,86
98,90
99,63
100,35
