1,21
2,5
3,89
4,32
5,70
6,17
7,20
8,66
9,19
10,57
11,47
12,48
13,22
14,37
15,76
16,87
17,23
18,42
19,29
20,72
21,50
22,9
23,75
24,26
25,71
26,96
27,85
28,82
29,78
30,52
31,73
32,56
33,46
34,55
35,43
36,63
37,88
38,4
39,16
40,30
41,11
42,7
43,59
44,18
45,67
46,81
47,25
48,27
49,69
50,54
51,49
52,38
53,64
54,28
55,65
56,6
57,34
58,33
59,31
60,36
61,97
62,3
63,68
64,77
65,8
66,2
67,94
68,10
69,80
70,83
71,61
72,24
73,39
74,45
75,58
76,79
77,1
78,53
79,84
80,35
81,99
82,40
83,93
84,13
85,15
86,98
87,62
88,74
89,41
90,90
91,92
92,51
93,100
94,44
95,95
96,60
97,91
98,12
99,14
100,86
