1,61
2,36
3,31
4,97
5,94
6,55
7,60
8,16
9,29
10,20
11,21
12,79
13,39
14,17
15,18
16,67
17,65
18,6
19,68
20,73
21,62
22,96
23,70
24,32
25,85
26,40
27,33
28,75
29,11
30,80
31,41
32,13
33,26
34,93
35,30
36,71
37,88
38,78
39,100
40,95
41,86
42,8
43,98
44,99
45,57
46,69
47,34
48,58
49,15
50,27
51,42
52,3
53,1
54,64
55,82
56,4
57,50
58,47
59,23
60,19
61,45
62,51
63,12
64,7
65,48
66,77
67,2
68,91
69,44
70,43
71,81
72,72
73,56
74,46
75,76
76,25
77,22
78,83
79,14
80,54
81,66
82,35
83,84
84,92
85,89
86,5
87,24
88,9
89,49
90,87
91,59
92,90
93,10
94,63
95,37
96,38
97,52
98,74
99,28
100,53
